code,lang,lto,nodes,ranks,scaling,style,rep,metric
pic,c,1,1,20,strong,PATCH,4,14.778965
pic,rust,0,1,20,strong,PATCH,4,15.477665
pic,rust,1,1,20,strong,PATCH,4,15.783481
pic,c,0,1,20,strong,PATCH,5,14.166203
pic,c,1,1,20,strong,PATCH,5,14.785455
pic,rust,0,1,20,strong,PATCH,5,15.579869
pic,rust,1,1,20,strong,PATCH,5,15.58313
pic,c,0,1,20,strong,PATCH,6,14.211614
pic,c,1,1,20,strong,PATCH,6,14.814456
pic,rust,0,1,20,strong,PATCH,6,15.251545
pic,rust,1,1,20,strong,PATCH,6,15.742503
pic,c,0,1,20,strong,PATCH,7,14.172976
pic,c,1,1,20,strong,PATCH,7,14.819256
pic,rust,0,1,20,strong,PATCH,7,15.385696
pic,rust,1,1,20,strong,PATCH,7,15.606947
pic,c,0,1,20,strong,PATCH,8,14.208749
pic,c,1,1,20,strong,PATCH,8,14.791733
pic,rust,0,1,20,strong,PATCH,8,15.555131
pic,rust,1,1,20,strong,PATCH,8,15.614843
pic,c,0,1,20,strong,PATCH,9,14.187421
pic,c,1,1,20,strong,PATCH,9,14.79526
pic,rust,0,1,20,strong,PATCH,9,15.62827
pic,rust,1,1,20,strong,PATCH,9,15.561908
pic,c,0,1,20,strong,SINUSOIDAL,0,121.438422
pic,c,1,1,20,strong,SINUSOIDAL,0,130.699198
pic,rust,0,1,20,strong,SINUSOIDAL,0,100.356913
pic,rust,1,1,20,strong,SINUSOIDAL,0,103.53911
pic,c,0,1,20,strong,SINUSOIDAL,1,125.8103
pic,c,1,1,20,strong,SINUSOIDAL,1,130.628586
pic,rust,0,1,20,strong,SINUSOIDAL,1,103.180383
pic,rust,1,1,20,strong,SINUSOIDAL,1,98.045175
pic,c,0,1,20,strong,SINUSOIDAL,2,126.210914
pic,c,1,1,20,strong,SINUSOIDAL,2,127.04365
pic,rust,0,1,20,strong,SINUSOIDAL,2,99.234098
pic,rust,1,1,20,strong,SINUSOIDAL,2,103.41748
pic,c,0,1,20,strong,SINUSOIDAL,3,120.990428
pic,c,1,1,20,strong,SINUSOIDAL,3,126.29399
pic,rust,0,1,20,strong,SINUSOIDAL,3,96.12631
pic,rust,1,1,20,strong,SINUSOIDAL,3,100.360773
pic,c,0,1,20,strong,SINUSOIDAL,4,118.656397
pic,c,1,1,20,strong,SINUSOIDAL,4,130.728848
pic,rust,0,1,20,strong,SINUSOIDAL,4,98.745672
pic,rust,1,1,20,strong,SINUSOIDAL,4,96.723614
pic,c,0,1,20,strong,SINUSOIDAL,5,125.783241
pic,c,1,1,20,strong,SINUSOIDAL,5,124.770383
pic,rust,0,1,20,strong,SINUSOIDAL,5,94.106951
pic,rust,1,1,20,strong,SINUSOIDAL,5,102.118624
pic,c,0,1,20,strong,SINUSOIDAL,6,125.710791
pic,c,1,1,20,strong,SINUSOIDAL,6,127.696676
pic,rust,0,1,20,strong,SINUSOIDAL,6,101.560452
pic,rust,1,1,20,strong,SINUSOIDAL,6,101.870685
pic,c,0,1,20,strong,SINUSOIDAL,7,119.190016
pic,c,1,1,20,strong,SINUSOIDAL,7,130.294438
pic,rust,0,1,20,strong,SINUSOIDAL,7,100.022478
pic,rust,1,1,20,strong,SINUSOIDAL,7,98.991863
pic,c,0,1,20,strong,SINUSOIDAL,8,125.981591
pic,c,1,1,20,strong,SINUSOIDAL,8,130.147105
pic,rust,0,1,20,strong,SINUSOIDAL,8,99.565342
pic,rust,1,1,20,strong,SINUSOIDAL,8,98.921088
pic,c,0,1,20,strong,SINUSOIDAL,9,123.52523
pic,c,1,1,20,strong,SINUSOIDAL,9,125.979821
pic,rust,0,1,20,strong,SINUSOIDAL,9,102.622909
pic,rust,1,1,20,strong,SINUSOIDAL,9,100.144923
pic,c,0,1,20,weak,GEOMETRIC,0,72.693372
pic,c,1,1,20,weak,GEOMETRIC,0,75.370138
pic,rust,0,1,20,weak,GEOMETRIC,0,70.728713
pic,rust,1,1,20,weak,GEOMETRIC,0,69.985921
pic,c,0,1,20,weak,GEOMETRIC,1,71.727176
pic,c,1,1,20,weak,GEOMETRIC,1,75.304464
pic,rust,0,1,20,weak,GEOMETRIC,1,69.88573
pic,rust,1,1,20,weak,GEOMETRIC,1,70.424382
pic,c,0,1,20,weak,GEOMETRIC,2,72.840652
pic,c,1,1,20,weak,GEOMETRIC,2,75.082376
pic,rust,0,1,20,weak,GEOMETRIC,2,69.055131
pic,rust,1,1,20,weak,GEOMETRIC,2,70.114144
pic,c,0,1,20,weak,GEOMETRIC,3,72.086644
pic,c,1,1,20,weak,GEOMETRIC,3,75.291895
pic,rust,0,1,20,weak,GEOMETRIC,3,69.391986
pic,rust,1,1,20,weak,GEOMETRIC,3,69.979124
pic,c,0,1,20,weak,GEOMETRIC,4,69.818944
pic,c,1,1,20,weak,GEOMETRIC,4,75.094789
pic,rust,0,1,20,weak,GEOMETRIC,4,69.858977
pic,rust,1,1,20,weak,GEOMETRIC,4,70.428157
pic,c,0,1,20,weak,GEOMETRIC,5,72.763861
pic,c,1,1,20,weak,GEOMETRIC,5,75.202469
pic,rust,0,1,20,weak,GEOMETRIC,5,69.993367
pic,rust,1,1,20,weak,GEOMETRIC,5,70.135512
pic,c,0,1,20,weak,GEOMETRIC,6,71.808902
pic,c,1,1,20,weak,GEOMETRIC,6,75.24448
pic,rust,0,1,20,weak,GEOMETRIC,6,69.092872
pic,rust,1,1,20,weak,GEOMETRIC,6,69.530629
pic,c,0,1,20,weak,GEOMETRIC,7,71.277974
pic,c,1,1,20,weak,GEOMETRIC,7,74.686983
pic,rust,0,1,20,weak,GEOMETRIC,7,69.312206
pic,rust,1,1,20,weak,GEOMETRIC,7,70.00469
pic,c,0,1,20,weak,GEOMETRIC,8,72.231686
pic,c,1,1,20,weak,GEOMETRIC,8,74.822541
pic,rust,0,1,20,weak,GEOMETRIC,8,69.202463
pic,rust,1,1,20,weak,GEOMETRIC,8,62.852728
pic,c,0,1,20,weak,GEOMETRIC,9,72.813793
pic,c,1,1,20,weak,GEOMETRIC,9,74.67759
pic,rust,0,1,20,weak,GEOMETRIC,9,69.896714
pic,rust,1,1,20,weak,GEOMETRIC,9,71.235645
pic,c,0,1,20,weak,LINEAR,0,212.016212
pic,c,1,1,20,weak,LINEAR,0,219.528656
pic,rust,0,1,20,weak,LINEAR,0,128.085935
pic,rust,1,1,20,weak,LINEAR,0,130.979679
pic,c,0,1,20,weak,LINEAR,1,202.525078
pic,c,1,1,20,weak,LINEAR,1,221.330551
pic,rust,0,1,20,weak,LINEAR,1,131.94641
pic,rust,1,1,20,weak,LINEAR,1,130.510019
pic,c,0,1,20,weak,LINEAR,2,204.72509
pic,c,1,1,20,weak,LINEAR,2,211.965728
pic,rust,0,1,20,weak,LINEAR,2,131.08021
pic,rust,1,1,20,weak,LINEAR,2,131.881621
pic,c,0,1,20,weak,LINEAR,3,202.720354
pic,c,1,1,20,weak,LINEAR,3,213.300667
pic,rust,0,1,20,weak,LINEAR,3,131.630909
pic,rust,1,1,20,weak,LINEAR,3,127.038932
pic,c,0,1,20,weak,LINEAR,4,207.045385
pic,c,1,1,20,weak,LINEAR,4,217.184769
pic,rust,0,1,20,weak,LINEAR,4,131.279133
pic,rust,1,1,20,weak,LINEAR,4,130.8415
pic,c,0,1,20,weak,LINEAR,5,211.757904
pic,c,1,1,20,weak,LINEAR,5,210.587494
pic,rust,0,1,20,weak,LINEAR,5,130.12868
pic,rust,1,1,20,weak,LINEAR,5,128.704326
pic,c,0,1,20,weak,LINEAR,6,201.950663
pic,c,1,1,20,weak,LINEAR,6,216.3653
pic,rust,0,1,20,weak,LINEAR,6,129.944865
pic,rust,1,1,20,weak,LINEAR,6,125.303607
pic,c,0,1,20,weak,LINEAR,7,208.089956
pic,c,1,1,20,weak,LINEAR,7,217.070495
pic,rust,0,1,20,weak,LINEAR,7,130.444182
pic,rust,1,1,20,weak,LINEAR,7,127.6689
pic,c,0,1,20,weak,LINEAR,8,212.415727
pic,c,1,1,20,weak,LINEAR,8,214.153807
pic,rust,0,1,20,weak,LINEAR,8,128.652779
pic,rust,1,1,20,weak,LINEAR,8,132.380024
pic,c,0,1,20,weak,LINEAR,9,212.094797
pic,c,1,1,20,weak,LINEAR,9,213.576754
pic,rust,0,1,20,weak,LINEAR,9,123.423389
pic,rust,1,1,20,weak,LINEAR,9,127.702948
pic,c,0,1,20,weak,PATCH,0,14.196718
pic,c,1,1,20,weak,PATCH,0,14.794924
pic,rust,0,1,20,weak,PATCH,0,15.439031
pic,rust,1,1,20,weak,PATCH,0,15.866611
pic,c,0,1,20,weak,PATCH,1,14.188748
pic,c,1,1,20,weak,PATCH,1,14.789225
pic,rust,0,1,20,weak,PATCH,1,15.681818
pic,rust,1,1,20,weak,PATCH,1,15.900747
pic,c,0,1,20,weak,PATCH,2,14.215842
pic,c,1,1,20,weak,PATCH,2,14.788935
pic,rust,0,1,20,weak,PATCH,2,15.68544
pic,rust,1,1,20,weak,PATCH,2,15.79954
pic,c,0,1,20,weak,PATCH,3,14.175436
pic,c,1,1,20,weak,PATCH,3,14.816596
pic,rust,0,1,20,weak,PATCH,3,15.47383
pic,rust,1,1,20,weak,PATCH,3,15.874711
pic,c,0,1,20,weak,PATCH,4,14.204967
pic,c,1,1,20,weak,PATCH,4,14.786792
pic,rust,0,1,20,weak,PATCH,4,15.588563
pic,rust,1,1,20,weak,PATCH,4,15.762805
pic,c,0,1,20,weak,PATCH,5,14.182626
pic,c,1,1,20,weak,PATCH,5,14.806154
pic,rust,0,1,20,weak,PATCH,5,15.657502
pic,rust,1,1,20,weak,PATCH,5,15.708482
pic,c,0,1,20,weak,PATCH,6,14.206424
pic,c,1,1,20,weak,PATCH,6,14.789269
pic,rust,0,1,20,weak,PATCH,6,15.403547
pic,rust,1,1,20,weak,PATCH,6,15.673765
pic,c,0,1,20,weak,PATCH,7,14.209502
pic,c,1,1,20,weak,PATCH,7,14.777857
pic,rust,0,1,20,weak,PATCH,7,15.678291
pic,rust,1,1,20,weak,PATCH,7,15.779832
pic,c,0,1,20,weak,PATCH,8,14.210758
pic,c,1,1,20,weak,PATCH,8,14.794842
pic,rust,0,1,20,weak,PATCH,8,15.718994
pic,rust,1,1,20,weak,PATCH,8,15.571551
pic,c,0,1,20,weak,PATCH,9,14.201709
pic,c,1,1,20,weak,PATCH,9,14.793902
pic,rust,0,1,20,weak,PATCH,9,15.57138
pic,rust,1,1,20,weak,PATCH,9,15.677801
pic,c,0,1,20,weak,SINUSOIDAL,0,126.925366
pic,c,1,1,20,weak,SINUSOIDAL,0,128.486803
pic,rust,0,1,20,weak,SINUSOIDAL,0,98.571837
pic,rust,1,1,20,weak,SINUSOIDAL,0,102.872963
